,Player,CapHit
2,Connor McDavid, 12500000
3,John Tavares, 11000000
4,Carey Price, 10500000
5,Jonathan Toews, 10500000
6,Patrick Kane, 10500000
7,William Nylander, 10277778
8,Anze Kopitar, 10000000
9,Jack Eichel, 10000000
10,Alexander Ovechkin, 9538462
11,Evgeni Malkin, 9500000
12,Jamie Benn, 9500000
13,P.K. Subban, 9000000
14,Sidney Crosby, 8700000
15,Corey Perry, 8625000
16,Leon Draisaitl, 8500000
17,Henrik Lundqvist, 8500000
18,Steven Stamkos, 8500000
19,Claude Giroux, 8275000
20,Ryan Getzlaf, 8250000
21,Jakub Voracek, 8250000
22,Ryan Johansen, 8000000
23,Phil Kessel, 8000000
24,John Carlson, 8000000
25,Brent Burns, 8000000
26,Victor Hedman, 7875000
27,Shea Weber, 7857143
28,Evgeny Kuznetsov, 7800000
29,Dustin Byfuglien, 7600000
30,Ryan Suter, 7538462
31,Zach Parise, 7538462
32,Aaron Ekblad, 7500000
33,Jason Spezza, 7500000
34,Vladimir Tarasenko, 7500000
35,Ryan O'Reilly, 7500000
36,Sergei Bobrovsky, 7425000
37,Mark Stone, 7350000
38,David Krejci, 7250000
39,Kristopher Letang, 7250000
40,Bobby Ryan, 7250000
41,Drew Doughty, 7000000
42,Marc-Edouard Vlasic, 7000000
43,James Van Riemsdyk, 7000000
44,Pekka Rinne, 7000000
45,Tuukka Rask, 7000000
46,Evander Kane, 7000000
47,Dion Phaneuf, 7000000
48,Ryan Kesler, 6875000
49,Brent Seabrook, 6875000
50,Patrice Bergeron, 6875000
51,Johnny Gaudreau, 6750000
52,Mark Giordano, 6750000
53,Nicklas Backstrom, 6700000
54,David Pastrnak, 6666666
55,Kevin Shattenkirk, 6650000
56,Cam Fowler, 6500000
57,Erik Karlsson, 6500000
58,Paul Stastny, 6500000
59,Alex Pietrangelo, 6500000
60,Derek Stepan, 6500000
61,Sean Monahan, 6375000
62,Keith Yandle, 6350000
63,Nathan MacKinnon, 6300000
64,Patrick Marleau, 6250000
65,Alexander Radulov, 6250000
66,Ilya Kovalchuk, 6250000
67,Connor Hellebuyck, 6166666
68,Brad Marchand, 6125000
69,Mark Scheifele, 6125000
70,Dylan Larkin, 6100000
71,Braden Holtby, 6100000
72,Henrik Zetterberg, 6083333
73,Johnny Boychuk, 6000000
74,Matt Duchene, 6000000
75,Nikolaj Ehlers, 6000000
76,Artemi Panarin, 6000000
77,Corey Crawford, 6000000
78,Cory Schneider, 6000000
79,David Backes, 6000000
80,Erik Johnson, 6000000
81,Filip Forsberg, 6000000
82,Joe Pavelski, 6000000
83,Jordan Eberle, 6000000
84,Jordan Staal, 6000000
85,Kyle Okposo, 6000000
86,Kyle Turris, 6000000
87,Logan Couture, 6000000
88,Milan Lucic, 6000000
89,Ryan Nugent-Hopkins, 6000000
90,Taylor Hall, 6000000
91,Brandon Saad, 6000000
92,Matt Dumba, 6000000
93,Loui Eriksson, 6000000
94,Aleksander Barkov, 5900000
95,Jonathan Huberdeau, 5900000
96,Semyon Varlamov, 5900000
97,Cam Atkinson, 5875000
98,Dustin Brown, 5875000
99,Brandon Dubinsky, 5850000
100,Jonathan Quick, 5800000
101,Ryan Callahan, 5800000
102,T.J. Oshie, 5750000
103,Alexander Steen, 5750000
104,Travis Zajac, 5750000
105,Tyler Seguin, 5750000
106,Martin Jones, 5750000
107,Dougie Hamilton, 5750000
108,James Neal, 5750000
109,Marc-André Fleury, 5750000
110,Matt Niskanen, 5750000
111,Mikael Granlund, 5750000
112,Jeff Skinner, 5725000
113,Marc Staal, 5700000
114,Mike Smith, 5666667
115,Tomas Hertl, 5625000
116,Blake Wheeler, 5600000
117,Jason Pominville, 5600000
118,Gabriel Landeskog, 5571428
119,Duncan Keith, 5538462
120,Bo Horvat, 5500000
121,Oliver Ekman-Larsson, 5500000
122,Colton Parayko, 5500000
123,Mikko Koivu, 5500000
